CompanyPrice,area,price,name,location,type
4400,95,418000,康怡棠渝西国际,永川,住宅
4000,82,328000,长岛汇,永川,住宅
8800,90,792000,恒大新城,巴南,住宅
18000,63,1134000,东原世界时,江北,住宅
4200,76,319200,和玉天籁城,永川,住宅
8600,22,189200,易度庭院时光,大渡口,商业类
10600,114,1208400,融创九棠府,渝北,住宅
13000,104,1352000,金科集美嘉悦,北碚,住宅
8200,56,459200,斌鑫江南御府,巴南,住宅
17000,110,1870000,国美江天御府,江北,住宅
10000,52,520000,奥园越时代,南岸,住宅
13500,67,904500,万科金域学府,南岸,住宅
15000,63,945000,国富沙磁巷,沙坪坝,住宅
8200,62,508400,协信天骄溪悦,巴南,住宅
6000,51,306000,旭城公园府邸,九龙坡,住宅
9900,34,336600,恒大御景湾,巴南,住宅
21000,159,3339000,金融街融御,江北,住宅
11500,66,759000,金隅大成时代都汇,南岸,住宅
14000,185,2590000,南方格林雅墅,江北,别墅
8200,35,287000,鑫泰华府,九龙坡,住宅
7800,60,468000,协信星澜汇,巴南,住宅
12000,115,1380000,重庆天安数码城江畔珑园,大渡口,住宅
16300,90,1467000,金辉御江府,南岸,住宅
20000,62,1240000,皇冠国际,南岸,住宅
14500,116,1682000,两江名苑伯克林,渝北,住宅
7100,47,333700,鲁能南渝星城,巴南,住宅
12000,49,588000,保利观塘,南岸,住宅
8000,69,552000,中交锦悦,巴南,住宅
8500,73,620500,旅文中央大街,北碚,住宅
11500,48,552000,渝富滨江首岸,沙坪坝,住宅
15000,122,1830000,保利观塘香颂,南岸,住宅
11000,82,902000,蓝光林肯公园,南岸,住宅
7500,19,142500,九汇元尚元,大渡口,商业类
9000,117,1053000,融汇半岛观江,巴南,住宅
18000,108,1944000,东邦小悦湾,巴南,别墅
10500,52,546000,北大资源海樾府,江北,住宅
10000,92,920000,保利金香槟,九龙坡,住宅
8500,42,357000,典雅花溪半岛,巴南,商业类
9300,91,846300,荣盛锦绣南山,巴南,住宅
6000,69,414000,华南城巴南华府,巴南,住宅
12500,78,975000,绿地新里樱园,江北,住宅
13000,128,1664000,启迪协信星麓原,巴南,住宅
12000,111,1332000,诚投天邻水岸,南岸,住宅
9400,81,761400,融创欧麓花园城博琅郡,南岸,住宅
11000,58,638000,华融现代城,江北,住宅
